CPU Array Size (%),CPU Execution Time (ms),GPU Array Size (%),GPU Execution Time (ms),Pthreads Array Size (%),Pthreads Execution Time (ms)
100%,0.0341,100%,0.00576,100%,0.00513
100%,0.0151,100%,0.005824,100%,0.000676
100%,0.0121,100%,0.006176,100%,0.001074
100%,0.0122,100%,0.006688,100%,0.000591
100%,0.0111,100%,0.006496,100%,0.000938
100%,0.0135,100%,0.00736,100%,0.000587
75%,0.0458,75%,0.00784,75%,0.000479
75%,0.0474,75%,0.007296,75%,0.001568
75%,0.0544,75%,0.006368,75%,0.002173
75%,0.0218,75%,0.006112,75%,0.000791
75%,0.0454,75%,0.00752,75%,0.003488
75%,0.0355,75%,0.007616,75%,0.001167
50%,0.044,50%,0.007232,50%,0.001119
50%,0.0205,50%,0.007168,50%,0.000646
50%,0.0426,50%,0.006528,50%,0.000555
50%,0.0281,50%,0.006432,50%,0.001403
50%,0.0207,50%,0.007296,50%,0.000626
50%,0.0442,50%,0.00672,50%,0.001071
25%,0.012,25%,0.008032,25%,0.00625
25%,0.0201,25%,0.007488,25%,0.001638
25%,0.0444,25%,0.006176,25%,0.001051
25%,0.0591,25%,0.006144,25%,0.000676
25%,0.0179,25%,0.00592,25%,0.00583
25%,0.0152,25%,0.006144,25%,0.000932
AVERAGE,"				",,,,
CPU Array Size (%),CPU Execution Time (ms),GPU Array Size (%),GPU Execution Time (ms),Pthreads Array Size (%),Pthreads Execution Time (ms)
100%,0.01635,100%,0.006384,100%,0.001499
75%,0.0183,75%,0.006731,75%,0.000724
50%,0.023683,50%,0.006976,50%,0.000873
25%,0.030733,25%,0.007008,25%,0.001056
